@relation regressiveOilHistoryData

@attribute CrudeOil numeric
@attribute Temperature numeric
@attribute AnilinePoint numeric
@attribute APIgravity numeric
@attribute SulphurContent numeric
@attribute Viscosity numeric
@attribute ReidVaporPressure numeric
@attribute AsphaltenesCarbonResidue numeric
@attribute OilQuality numeric
@attribute RefinaryNodePerformace numeric

@data
111.33,10,111,0,1,2,0,1,2,123.22
121.11,10,111,2,2,0,1,1,0,311.22
130.89,10,111,2,1,1,1,1,0,499.22
140.67,10,111,1,1,1,1,1,1,687.22
150.45,10,111,0,0,0,0,0,0,875.22
160.23,10,111,2,0,1,0,2,1,1063.22
170.01,10,111,1,0,1,0,1,1,1251.22
179.79,10,111,0,0,1,0,1,1,1439.22
189.57,10,111,0,0,1,0,1,1,1627.22
199.35,10,111,0,0,1,0,1,1,1815.22
209.13,10,111,0,0,1,0,1,1,2003.22
218.91,10,111,0,0,1,0,1,1,2191.22
228.69,10,111,0,0,1,0,1,1,2379.22
238.47,10,111,0,0,1,0,1,1,2567.22
248.25,10,111,0,0,1,0,1,1,2755.22
258.03,10,111,0,0,1,0,1,1,2943.22
267.81,10,111,0,0,1,0,1,1,122.11
277.59,10,111,0,0,1,0,1,1,132
287.37,10,111,0,0,1,0,1,1,141.89
297.15,10,111,0,0,1,0,1,1,151.78
306.93,10,111,0,0,1,0,1,1,161.67
316.71,10,111,0,0,1,0,1,1,171.56
326.49,10,111,0,0,1,0,1,1,181.45
336.27,10,111,0,0,1,0,1,1,191.34
346.05,10,111,0,0,1,0,1,1,201.23
355.83,10,111,0,0,1,0,1,1,211.12
365.61,10,111,0,0,1,0,1,1,221.01
375.39,10,111,0,0,1,0,1,1,230.9
385.17,10,111,0,0,1,0,1,1,240.79
394.95,10,111,0,0,1,0,1,1,250.68
404.73,10,111,0,0,1,0,1,1,260.57
414.51,10,111,0,0,1,0,1,1,270.46
424.29,10,111,0,0,1,0,1,1,280.35
434.07,10,111,0,0,1,0,1,1,290.24
443.85,10,111,0,0,1,0,1,1,300.13
453.63,10,111,0,0,1,0,1,1,310.02
463.41,10,111,0,0,1,0,1,1,319.91
473.19,10,111,0,0,1,0,1,1,329.8
482.97,10,111,0,0,1,0,1,1,339.69
492.75,10,111,0,0,1,0,1,1,349.58
502.53,10,111,0,0,1,0,1,1,359.47
512.31,10,111,0,0,1,0,1,1,369.36
522.09,10,111,0,0,1,0,1,1,379.25
531.87,10,111,0,0,1,0,1,1,389.14
541.65,10,111,0,0,1,0,1,1,399.03
551.43,10,111,0,0,1,0,1,1,408.92
561.21,10,111,0,0,1,0,1,1,418.81
570.99,10,111,0,0,1,0,1,1,428.7
